Source,Target,like,retweet,both
752621952322318337,49175397,True,False,False
17569982,49175397,True,False,False
1250941296128266240,49175397,True,False,False
894691065625706497,49175397,True,False,False
889270649268518912,49175397,True,False,False
19116421,49175397,True,False,False
1383116985488310279,49175397,True,False,False
66396823,49175397,True,False,False
2242205587,49175397,True,False,False
941477982,49175397,True,False,False
217779988,49175397,True,False,False
16260501,49175397,True,False,False
519881489,49175397,True,False,False
1433721826438492160,49175397,True,False,False
1052140093962518530,49175397,True,False,False
54320524,49175397,True,False,False
1109085534314524672,49175397,True,False,False
1197057268765876224,49175397,True,False,False
15115771,49175397,True,False,False
1215657904939917317,49175397,True,False,False
1227930246,49175397,True,False,False
494269371,49175397,True,False,False
3305026599,49175397,True,False,False
18706202,49175397,True,False,False
1328363864036143104,49175397,True,False,False
1038121134368190464,49175397,True,False,False
1116779430532329473,49175397,True,False,False
1174563123484909568,49175397,True,False,False
700770341522571264,49175397,True,False,False
2798855903,49175397,True,False,False
3985562353,49175397,True,False,False
289229210,49175397,True,False,False
1202368752114905088,49175397,True,False,False
1492529802254991368,49175397,True,False,False
1255233983467700226,49175397,True,False,False
25068728,49175397,True,False,False
1366021981225816070,49175397,True,False,False
123065731,49175397,True,False,False
1463222540353118209,49175397,True,False,False
945689264188219392,49175397,True,False,False
3244202246,49175397,True,False,False
825772608662695936,49175397,True,False,False
1181341904765628416,49175397,True,False,False
440802348,49175397,True,False,False
79456871,49175397,True,False,False
996115210401386497,49175397,True,False,False
580842681,49175397,True,False,False
76117499,49175397,True,False,False
69917823,49175397,True,False,False
4698625040,49175397,True,False,False
293835723,49175397,True,False,False
23224836,49175397,True,False,False
256231726,49175397,True,False,False
740940296687607808,49175397,True,False,False
1390250972673454083,49175397,True,False,False
25960460,49175397,True,False,False
1450405507328524290,49175397,True,False,False
1108878745,49175397,True,False,False
220851657,49175397,True,False,False
803455754,49175397,True,False,False
29857149,49175397,True,False,False
382796507,49175397,True,False,False
1305152095235043329,49175397,True,False,False
1326628339033894914,49175397,True,False,False
1059029679917670400,49175397,True,False,False
37121191,49175397,True,False,False
832671328851222528,49175397,True,False,False
4829836703,49175397,True,False,False
1427528268945764387,49175397,True,False,False
942326206917001216,49175397,True,False,False
1379152737942839300,49175397,True,False,False
2603181982,49175397,True,False,False
1439067241,49175397,True,False,False
1242669968396713984,49175397,True,False,False
824741923806179334,49175397,True,False,False
938479923467087872,49175397,True,False,False
1337586643549696000,49175397,True,False,False
1004487835175485441,49175397,True,False,False
1264255659090104321,49175397,True,False,False
1151869623941419010,49175397,True,False,False
972400872453009408,1196514339479597057,True,False,False
2757512378,1196514339479597057,True,False,False
1361441583883825152,1196514339479597057,True,False,False
15128021,1196514339479597057,True,False,False
1271482686687735809,1196514339479597057,True,False,False
1454354047104794624,1196514339479597057,True,False,False
1493239370152882176,1196514339479597057,True,False,False
1495391955815399424,1196514339479597057,True,False,False
1498181076959006720,1196514339479597057,True,False,False
963643212,1196514339479597057,True,False,False
2916027325,1196514339479597057,True,False,False
1442943881620774913,1196514339479597057,True,False,False
1403827770837327872,1196514339479597057,True,False,False
3085506181,1196514339479597057,True,False,False
1151705627141406720,1196514339479597057,True,False,False
1295975664139382784,1196514339479597057,True,False,False
1175971479059664897,1196514339479597057,True,False,False
1486389921501827076,1196514339479597057,True,False,False
1469545806722387969,1196514339479597057,True,False,False
1499722652973477899,1196514339479597057,True,False,False
1370561602450292736,1196514339479597057,True,False,False
2476789202,1196514339479597057,True,False,False
2957521721,1196514339479597057,True,False,False
1218836292722659328,1196514339479597057,True,False,False
1064767236408262656,1196514339479597057,True,False,False
1494285960141365252,1196514339479597057,True,False,False
1428818785117429765,1196514339479597057,True,False,False
3228228843,1196514339479597057,True,False,False
1496877409370402819,1196514339479597057,True,False,False
1385583520270233601,1196514339479597057,True,False,False
440620263,1196514339479597057,True,False,False
461572628,1196514339479597057,True,False,False
30767702,1196514339479597057,True,False,False
1342095547868479493,1196514339479597057,True,False,False
1498634724339855361,1196514339479597057,True,False,False
1496418058512089089,1196514339479597057,True,False,False
4906969075,1196514339479597057,True,False,False
794519838735691778,1196514339479597057,True,False,False
1496829230562234374,1196514339479597057,True,False,False
1391509307682955265,1196514339479597057,True,False,False
1496768632738791433,1196514339479597057,True,False,False
1074552896107143168,1196514339479597057,True,False,False
2601168557,1196514339479597057,True,False,False
1400615431384145920,1196514339479597057,True,False,False
892083206262018049,1196514339479597057,True,False,False
1445314155578281986,1196514339479597057,True,False,False
66780893,1196514339479597057,True,False,False
1037055535,1196514339479597057,True,False,False
297598635,1196514339479597057,True,False,False
1497346876466737152,1196514339479597057,True,False,False
1462857243733348352,1196514339479597057,True,False,False
1061304641542086656,1196514339479597057,True,False,False
4080787793,1196514339479597057,True,False,False
1420574972439900163,1196514339479597057,True,False,False
1208468943142346752,1196514339479597057,True,False,False
2845012373,1196514339479597057,True,False,False
1024735396264062977,1196514339479597057,True,False,False
1490414638911180808,1196514339479597057,True,False,False
1395819702308454403,1196514339479597057,True,False,False
1001480691782123522,1196514339479597057,True,False,False
1312813024701448193,1196514339479597057,True,False,False
1210420650550190080,1196514339479597057,True,False,False
1098988365138018304,1196514339479597057,True,False,False
3047086604,1196514339479597057,True,False,False
1497159386556477462,1196514339479597057,True,False,False
556954712,1196514339479597057,True,False,False
1481093703938752514,1196514339479597057,True,False,False
965660774315196421,1196514339479597057,True,False,False
1206284378642370560,1196514339479597057,True,False,False
1140915289330200576,1196514339479597057,True,False,False
1203395848761233408,1196514339479597057,True,False,False
1289495750418862081,1196514339479597057,True,False,False
872698424000475136,1196514339479597057,True,False,False
1426238030201950209,1196514339479597057,True,False,False
1574915011,1196514339479597057,True,False,False
1496799178470612995,1196514339479597057,True,False,False
1409716084060663809,1196514339479597057,True,False,False
975690179410386945,1196514339479597057,True,False,False
971688191467118592,1196514339479597057,True,False,False
1427938006774734854,1196514339479597057,True,False,False
